function,projected_eles,inv_max_fpr,pos_eles,ele_length,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
TestBloomFilterStringQuery,2,32768,64,10,155140,4458.54,4434.77,ns,,,,,
TestBloomFilterStringQuery,8,32768,64,10,160168,4650.26,4597.17,ns,,,,,
TestBloomFilterStringQuery,64,32768,64,10,159381,4271.12,4269.28,ns,,,,,
TestBloomFilterStringQuery,512,32768,64,10,163337,4579.21,4544.77,ns,,,,,
TestBloomFilterStringQuery,2048,32768,64,10,163199,4247.69,4243.86,ns,,,,,
TestBloomFilterStringQuery,2,262144,64,10,159773,4255.04,4253.28,ns,,,,,
TestBloomFilterStringQuery,8,262144,64,10,165772,4311.92,4305.39,ns,,,,,
TestBloomFilterStringQuery,64,262144,64,10,158412,4423.17,4402.67,ns,,,,,
TestBloomFilterStringQuery,512,262144,64,10,152963,4281.27,4276.97,ns,,,,,
TestBloomFilterStringQuery,2048,262144,64,10,166248,4420.42,4407.21,ns,,,,,
TestBloomFilterStringQuery,2,1000000,64,10,165522,4249.28,4247.22,ns,,,,,
TestBloomFilterStringQuery,8,1000000,64,10,166267,4474.71,4450.23,ns,,,,,
TestBloomFilterStringQuery,64,1000000,64,10,158279,4360.4,4350.97,ns,,,,,
TestBloomFilterStringQuery,512,1000000,64,10,157186,4306.32,4303.39,ns,,,,,
TestBloomFilterStringQuery,2048,1000000,64,10,162956,4260.63,4257.33,ns,,,,,
TestBloomFilterStringQuery,2,1000,512,10,20795,33596.5,33580.3,ns,,,,,
TestBloomFilterStringQuery,8,1000,512,10,20953,36951.3,36582.7,ns,,,,,
TestBloomFilterStringQuery,64,1000,512,10,19162,35162.9,34991.9,ns,,,,,
TestBloomFilterStringQuery,512,1000,512,10,20420,34134.1,34085.8,ns,,,,,
TestBloomFilterStringQuery,2048,1000,512,10,20027,34844.2,34719.1,ns,,,,,
TestBloomFilterStringQuery,2,4096,512,10,19982,34637.3,34523.7,ns,,,,,
TestBloomFilterStringQuery,8,4096,512,10,19949,34429.3,34385,ns,,,,,
TestBloomFilterStringQuery,64,4096,512,10,20320,34207.9,34175.7,ns,,,,,
TestBloomFilterStringQuery,512,4096,512,10,20407,34131.2,34084.2,ns,,,,,
TestBloomFilterStringQuery,2048,4096,512,10,20205,33849.4,33810.8,ns,,,,,
TestBloomFilterStringQuery,2,32768,512,10,20729,34128.5,34083.7,ns,,,,,
TestBloomFilterStringQuery,8,32768,512,10,20377,33955,33927.2,ns,,,,,
TestBloomFilterStringQuery,64,32768,512,10,20310,35044.2,34959.5,ns,,,,,
TestBloomFilterStringQuery,512,32768,512,10,20234,35007.2,34941.6,ns,,,,,
TestBloomFilterStringQuery,2048,32768,512,10,19832,35812.3,35729.4,ns,,,,,
TestBloomFilterStringQuery,2,262144,512,10,19874,35042.3,34986.5,ns,,,,,
TestBloomFilterStringQuery,8,262144,512,10,20145,34892,34851.6,ns,,,,,
TestBloomFilterStringQuery,64,262144,512,10,19715,35592,35533.6,ns,,,,,
TestBloomFilterStringQuery,512,262144,512,10,19442,35484.5,35440.6,ns,,,,,
TestBloomFilterStringQuery,2048,262144,512,10,19857,35620.4,35583.3,ns,,,,,
TestBloomFilterStringQuery,2,1000000,512,10,19990,35525.6,35472.3,ns,,,,,
TestBloomFilterStringQuery,8,1000000,512,10,19908,35526.6,35484.1,ns,,,,,
TestBloomFilterStringQuery,64,1000000,512,10,19703,35605.1,35577.9,ns,,,,,
TestBloomFilterStringQuery,512,1000000,512,10,19621,35598.4,35568,ns,,,,,
TestBloomFilterStringQuery,2048,1000000,512,10,19543,35884.5,35850.3,ns,,,,,
TestBloomFilterStringQuery,2,1000,4096,10,2563,274030,273771,ns,,,,,
TestBloomFilterStringQuery,8,1000,4096,10,2528,273693,273471,ns,,,,,
TestBloomFilterStringQuery,64,1000,4096,10,2545,275882,275495,ns,,,,,
TestBloomFilterStringQuery,512,1000,4096,10,2563,275058,274854,ns,,,,,
TestBloomFilterStringQuery,2048,1000,4096,10,2547,274628,274439,ns,,,,,
TestBloomFilterStringQuery,2,4096,4096,10,2560,273659,273448,ns,,,,,
TestBloomFilterStringQuery,8,4096,4096,10,2559,276157,275824,ns,,,,,
TestBloomFilterStringQuery,64,4096,4096,10,2572,273712,273495,ns,,,,,
TestBloomFilterStringQuery,512,4096,4096,10,2553,274410,274228,ns,,,,,
TestBloomFilterStringQuery,2048,4096,4096,10,2576,274266,274043,ns,,,,,
TestBloomFilterStringQuery,2,32768,4096,10,2557,273751,273456,ns,,,,,
TestBloomFilterStringQuery,8,32768,4096,10,2544,277382,277059,ns,,,,,
TestBloomFilterStringQuery,64,32768,4096,10,2520,276891,276606,ns,,,,,
TestBloomFilterStringQuery,512,32768,4096,10,2518,277732,277540,ns,,,,,
TestBloomFilterStringQuery,2048,32768,4096,10,2508,282662,282195,ns,,,,,
TestBloomFilterStringQuery,2,262144,4096,10,2524,280371,279903,ns,,,,,
TestBloomFilterStringQuery,8,262144,4096,10,2435,282744,282368,ns,,,,,
TestBloomFilterStringQuery,64,262144,4096,10,2365,291701,291326,ns,,,,,
TestBloomFilterStringQuery,512,262144,4096,10,2393,297880,297540,ns,,,,,
TestBloomFilterStringQuery,2048,262144,4096,10,2317,302655,302231,ns,,,,,
TestBloomFilterStringQuery,2,1000000,4096,10,2469,296484,295322,ns,,,,,
TestBloomFilterStringQuery,8,1000000,4096,10,2273,319602,317606,ns,,,,,
TestBloomFilterStringQuery,64,1000000,4096,10,2261,307744,307530,ns,,,,,
TestBloomFilterStringQuery,512,1000000,4096,10,2186,314689,314007,ns,,,,,
TestBloomFilterStringQuery,2048,1000000,4096,10,2203,325117,323749,ns,,,,,
TestBloomFilterStringQuery,2,1000,8192,10,1256,563163,561720,ns,,,,,
TestBloomFilterStringQuery,8,1000,8192,10,1244,566759,565318,ns,,,,,
TestBloomFilterStringQuery,64,1000,8192,10,1264,558371,557190,ns,,,,,
TestBloomFilterStringQuery,512,1000,8192,10,1246,552704,551668,ns,,,,,
TestBloomFilterStringQuery,2048,1000,8192,10,1270,552143,551197,ns,,,,,
TestBloomFilterStringQuery,2,4096,8192,10,1273,549304,548984,ns,,,,,
TestBloomFilterStringQuery,8,4096,8192,10,1229,553610,552694,ns,,,,,
TestBloomFilterStringQuery,64,4096,8192,10,1245,553751,553061,ns,,,,,
TestBloomFilterStringQuery,512,4096,8192,10,1310,549843,549355,ns,,,,,
TestBloomFilterStringQuery,2048,4096,8192,10,1267,556860,555847,ns,,,,,
TestBloomFilterStringQuery,2,32768,8192,10,1276,550605,549931,ns,,,,,
TestBloomFilterStringQuery,8,32768,8192,10,1250,553036,552161,ns,,,,,
TestBloomFilterStringQuery,64,32768,8192,10,1262,559758,559010,ns,,,,,
TestBloomFilterStringQuery,512,32768,8192,10,1278,558492,557777,ns,,,,,
TestBloomFilterStringQuery,2048,32768,8192,10,1179,581878,579789,ns,,,,,
TestBloomFilterStringQuery,2,262144,8192,10,1213,573897,571105,ns,,,,,
TestBloomFilterStringQuery,8,262144,8192,10,1195,597089,594298,ns,,,,,
TestBloomFilterStringQuery,64,262144,8192,10,1096,598337,597639,ns,,,,,
TestBloomFilterStringQuery,512,262144,8192,10,1124,609635,609085,ns,,,,,
TestBloomFilterStringQuery,2048,262144,8192,10,1114,613784,612885,ns,,,,,
TestBloomFilterStringQuery,2,1000000,8192,10,1168,589606,587820,ns,,,,,
TestBloomFilterStringQuery,8,1000000,8192,10,1125,627277,625469,ns,,,,,
TestBloomFilterStringQuery,64,1000000,8192,10,1062,652408,649997,ns,,,,,
TestBloomFilterStringQuery,512,1000000,8192,10,970,645939,644159,ns,,,,,
TestBloomFilterStringQuery,2048,1000000,8192,10,1044,658654,656511,ns,,,,,
TestBloomFilterStringQuery,2,1000,8,64,877083,760.781,758.205,ns,,,,,
TestBloomFilterStringQuery,8,1000,8,64,926146,762.829,760.2,ns,,,,,
TestBloomFilterStringQuery,64,1000,8,64,912040,752.296,750.78,ns,,,,,
TestBloomFilterStringQuery,512,1000,8,64,956480,758.631,756.809,ns,,,,,
TestBloomFilterStringQuery,2048,1000,8,64,905446,735.633,734.907,ns,,,,,
TestBloomFilterStringQuery,2,4096,8,64,937621,747.072,745.949,ns,,,,,
TestBloomFilterStringQuery,8,4096,8,64,929208,748.934,747.949,ns,,,,,
TestBloomFilterStringQuery,64,4096,8,64,925877,753.335,751.911,ns,,,,,
TestBloomFilterStringQuery,512,4096,8,64,925400,753.157,752.025,ns,,,,,
TestBloomFilterStringQuery,2048,4096,8,64,915979,749.331,748.237,ns,,,,,
TestBloomFilterStringQuery,2,32768,8,64,948805,739.973,738.638,ns,,,,,
TestBloomFilterStringQuery,8,32768,8,64,937446,740.164,739.336,ns,,,,,
TestBloomFilterStringQuery,64,32768,8,64,958628,741.216,739.989,ns,,,,,
TestBloomFilterStringQuery,512,32768,8,64,951527,739.365,738.529,ns,,,,,
TestBloomFilterStringQuery,2048,32768,8,64,930925,753.006,751.599,ns,,,,,
TestBloomFilterStringQuery,2,262144,8,64,964799,736.446,735.759,ns,,,,,
TestBloomFilterStringQuery,8,262144,8,64,925828,736.141,735.656,ns,,,,,
TestBloomFilterStringQuery,64,262144,8,64,956715,738.411,737.3,ns,,,,,
TestBloomFilterStringQuery,512,262144,8,64,967853,742.091,741.294,ns,,,,,
TestBloomFilterStringQuery,2048,262144,8,64,950932,739.188,738.381,ns,,,,,
TestBloomFilterStringQuery,2,1000000,8,64,940291,742.81,741.665,ns,,,,,
TestBloomFilterStringQuery,8,1000000,8,64,965917,739.651,738.736,ns,,,,,
TestBloomFilterStringQuery,64,1000000,8,64,923824,737.952,737.078,ns,,,,,
TestBloomFilterStringQuery,512,1000000,8,64,953107,734.415,733.556,ns,,,,,
TestBloomFilterStringQuery,2048,1000000,8,64,953289,743.235,741.949,ns,,,,,
TestBloomFilterStringQuery,2,1000,64,64,116984,5837.9,5832.84,ns,,,,,
TestBloomFilterStringQuery,8,1000,64,64,118642,5910.39,5900.92,ns,,,,,
TestBloomFilterStringQuery,64,1000,64,64,120013,5826.16,5820.66,ns,,,,,
TestBloomFilterStringQuery,512,1000,64,64,119720,5807.4,5796.81,ns,,,,,
TestBloomFilterStringQuery,2048,1000,64,64,115145,5943,5923.7,ns,,,,,
TestBloomFilterStringQuery,2,4096,64,64,113616,6224.25,6166.09,ns,,,,,
TestBloomFilterStringQuery,8,4096,64,64,112983,6203.08,6146.29,ns,,,,,
TestBloomFilterStringQuery,64,4096,64,64,112927,5958.54,5930.03,ns,,,,,
TestBloomFilterStringQuery,512,4096,64,64,116492,5916.51,5890.55,ns,,,,,
TestBloomFilterStringQuery,2048,4096,64,64,117819,5928.4,5899.97,ns,,,,,
TestBloomFilterStringQuery,2,32768,64,64,117125,5958.23,5926.44,ns,,,,,
TestBloomFilterStringQuery,8,32768,64,64,121595,5923.61,5905.71,ns,,,,,
TestBloomFilterStringQuery,64,32768,64,64,113329,5846.69,5839.14,ns,,,,,
TestBloomFilterStringQuery,512,32768,64,64,118391,5916.29,5894.66,ns,,,,,
TestBloomFilterStringQuery,2048,32768,64,64,118359,6006.45,5979.87,ns,,,,,
TestBloomFilterStringQuery,2,262144,64,64,117742,5946.23,5931.85,ns,,,,,
TestBloomFilterStringQuery,8,262144,64,64,111259,6057.22,6032.37,ns,,,,,
TestBloomFilterStringQuery,64,262144,64,64,112971,6017.58,5984.78,ns,,,,,
TestBloomFilterStringQuery,512,262144,64,64,116531,6052.23,6029.22,ns,,,,,
TestBloomFilterStringQuery,2048,262144,64,64,116401,6411.78,6333.24,ns,,,,,
TestBloomFilterStringQuery,2,1000000,64,64,120519,5730.94,5727.35,ns,,,,,
TestBloomFilterStringQuery,8,1000000,64,64,119986,6063.01,6036.6,ns,,,,,
TestBloomFilterStringQuery,64,1000000,64,64,117491,5976.89,5953.96,ns,,,,,
TestBloomFilterStringQuery,512,1000000,64,64,121051,5798.53,5794.19,ns,,,,,
TestBloomFilterStringQuery,2048,1000000,64,64,119254,6021.88,6002.62,ns,,,,,
TestBloomFilterStringQuery,2,1000,512,64,14573,48474.7,47790.6,ns,,,,,
TestBloomFilterStringQuery,8,1000,512,64,14222,55952,54032.6,ns,,,,,
TestBloomFilterStringQuery,64,1000,512,64,13777,53044.4,50983.2,ns,,,,,
TestBloomFilterStringQuery,512,1000,512,64,13426,52051,51053.4,ns,,,,,
TestBloomFilterStringQuery,2048,1000,512,64,14693,46344.6,46285.4,ns,,,,,
TestBloomFilterStringQuery,2,4096,512,64,14896,47485.5,47354.7,ns,,,,,
TestBloomFilterStringQuery,8,4096,512,64,14971,47467.8,47278.5,ns,,,,,
TestBloomFilterStringQuery,64,4096,512,64,14840,48659.5,48357.3,ns,,,,,
TestBloomFilterStringQuery,512,4096,512,64,14447,47828.2,47677.9,ns,,,,,
TestBloomFilterStringQuery,2048,4096,512,64,14832,47067.8,46964.1,ns,,,,,
TestBloomFilterStringQuery,2,32768,512,64,14736,48915.7,48492.4,ns,,,,,
TestBloomFilterStringQuery,8,32768,512,64,15148,47139.3,47055.7,ns,,,,,
TestBloomFilterStringQuery,64,32768,512,64,14502,48795.6,48462.3,ns,,,,,
TestBloomFilterStringQuery,512,32768,512,64,14934,46547.5,46495.8,ns,,,,,
TestBloomFilterStringQuery,2048,32768,512,64,15079,47340,47233,ns,,,,,
TestBloomFilterStringQuery,2,262144,512,64,13960,47215.7,47154.1,ns,,,,,
TestBloomFilterStringQuery,8,262144,512,64,14324,46892.4,46830.6,ns,,,,,
TestBloomFilterStringQuery,64,262144,512,64,13984,49210.5,48974.6,ns,,,,,
TestBloomFilterStringQuery,512,262144,512,64,14222,49498.8,49311.4,ns,,,,,
TestBloomFilterStringQuery,2048,262144,512,64,14470,46903.4,46889.6,ns,,,,,
TestBloomFilterStringQuery,2,1000000,512,64,15200,46264.5,46245.4,ns,,,,,
TestBloomFilterStringQuery,8,1000000,512,64,14937,46972.2,46964.1,ns,,,,,
TestBloomFilterStringQuery,64,1000000,512,64,14890,47137.8,47130.6,ns,,,,,
TestBloomFilterStringQuery,512,1000000,512,64,10000,51097.7,50814.2,ns,,,,,
TestBloomFilterStringQuery,2048,1000000,512,64,13721,53851.1,53152.4,ns,,,,,
TestBloomFilterStringQuery,2,1000,4096,64,1807,384200,383087,ns,,,,,
TestBloomFilterStringQuery,8,1000,4096,64,1863,380170,379240,ns,,,,,
TestBloomFilterStringQuery,64,1000,4096,64,1846,378678,377813,ns,,,,,
TestBloomFilterStringQuery,512,1000,4096,64,1732,386728,385140,ns,,,,,
TestBloomFilterStringQuery,2048,1000,4096,64,1891,379293,378578,ns,,,,,
TestBloomFilterStringQuery,2,4096,4096,64,1830,382448,381543,ns,,,,,
TestBloomFilterStringQuery,8,4096,4096,64,1825,372172,371674,ns,,,,,
TestBloomFilterStringQuery,64,4096,4096,64,1881,368518,368246,ns,,,,,
TestBloomFilterStringQuery,512,4096,4096,64,1903,371110,370617,ns,,,,,
TestBloomFilterStringQuery,2048,4096,4096,64,1863,381199,380609,ns,,,,,
TestBloomFilterStringQuery,2,32768,4096,64,1871,375543,374900,ns,,,,,
TestBloomFilterStringQuery,8,32768,4096,64,1846,374093,373651,ns,,,,,
TestBloomFilterStringQuery,64,32768,4096,64,1785,386248,385087,ns,,,,,
TestBloomFilterStringQuery,512,32768,4096,64,1769,400144,397323,ns,,,,,
TestBloomFilterStringQuery,2048,32768,4096,64,1789,400421,397456,ns,,,,,
TestBloomFilterStringQuery,2,262144,4096,64,1785,404398,400832,ns,,,,,
TestBloomFilterStringQuery,8,262144,4096,64,1718,404313,401987,ns,,,,,
TestBloomFilterStringQuery,64,262144,4096,64,1693,423609,420734,ns,,,,,
TestBloomFilterStringQuery,512,262144,4096,64,1671,411697,410622,ns,,,,,
TestBloomFilterStringQuery,2048,262144,4096,64,1722,407990,407497,ns,,,,,
TestBloomFilterStringQuery,2,1000000,4096,64,1764,401513,400385,ns,,,,,
TestBloomFilterStringQuery,8,1000000,4096,64,1653,418310,416936,ns,,,,,
TestBloomFilterStringQuery,64,1000000,4096,64,1709,413441,412855,ns,,,,,
TestBloomFilterStringQuery,512,1000000,4096,64,1686,414106,413564,ns,,,,,
TestBloomFilterStringQuery,2048,1000000,4096,64,1669,409378,408897,ns,,,,,
TestBloomFilterStringQuery,2,1000,8192,64,949,741324,740712,ns,,,,,
TestBloomFilterStringQuery,8,1000,8192,64,952,743915,743040,ns,,,,,
TestBloomFilterStringQuery,64,1000,8192,64,955,740879,739936,ns,,,,,
TestBloomFilterStringQuery,512,1000,8192,64,946,737059,736444,ns,,,,,
TestBloomFilterStringQuery,2048,1000,8192,64,956,737114,736302,ns,,,,,
TestBloomFilterStringQuery,2,4096,8192,64,934,734318,733770,ns,,,,,
TestBloomFilterStringQuery,8,4096,8192,64,932,739572,738804,ns,,,,,
TestBloomFilterStringQuery,64,4096,8192,64,960,741843,740967,ns,,,,,
TestBloomFilterStringQuery,512,4096,8192,64,944,738110,737693,ns,,,,,
TestBloomFilterStringQuery,2048,4096,8192,64,959,742566,741799,ns,,,,,
TestBloomFilterStringQuery,2,32768,8192,64,932,735134,734361,ns,,,,,
TestBloomFilterStringQuery,8,32768,8192,64,948,750980,750124,ns,,,,,
TestBloomFilterStringQuery,64,32768,8192,64,931,771896,771185,ns,,,,,
TestBloomFilterStringQuery,512,32768,8192,64,940,752974,752385,ns,,,,,
TestBloomFilterStringQuery,2048,32768,8192,64,911,752359,751849,ns,,,,,
TestBloomFilterStringQuery,2,262144,8192,64,901,764295,762832,ns,,,,,
TestBloomFilterStringQuery,8,262144,8192,64,905,774486,773789,ns,,,,,
TestBloomFilterStringQuery,64,262144,8192,64,845,815422,814233,ns,,,,,
TestBloomFilterStringQuery,512,262144,8192,64,828,805565,805167,ns,,,,,
TestBloomFilterStringQuery,2048,262144,8192,64,863,819517,818725,ns,,,,,
TestBloomFilterStringQuery,2,1000000,8192,64,908,784687,784044,ns,,,,,
TestBloomFilterStringQuery,8,1000000,8192,64,842,816992,816557,ns,,,,,
TestBloomFilterStringQuery,64,1000000,8192,64,835,838997,837937,ns,,,,,
TestBloomFilterStringQuery,512,1000000,8192,64,819,851499,850242,ns,,,,,
TestBloomFilterStringQuery,2048,1000000,8192,64,847,834335,833711,ns,,,,,
TestBloomFilterStringQuery,2,1000,8,100,781782,911.485,910.471,ns,,,,,
TestBloomFilterStringQuery,8,1000,8,100,778955,909.457,908.706,ns,,,,,
TestBloomFilterStringQuery,64,1000,8,100,751855,909.291,908.686,ns,,,,,
TestBloomFilterStringQuery,512,1000,8,100,767695,913.075,911.828,ns,,,,,
TestBloomFilterStringQuery,2048,1000,8,100,760407,907.714,906.821,ns,,,,,
TestBloomFilterStringQuery,2,4096,8,100,780666,909.3,908.355,ns,,,,,
TestBloomFilterStringQuery,8,4096,8,100,760184,904.667,903.996,ns,,,,,
TestBloomFilterStringQuery,64,4096,8,100,764760,903.727,902.777,ns,,,,,
TestBloomFilterStringQuery,512,4096,8,100,786924,917.17,915.438,ns,,,,,
TestBloomFilterStringQuery,2048,4096,8,100,763817,904.102,902.922,ns,,,,,
TestBloomFilterStringQuery,2,32768,8,100,780605,904.684,903.445,ns,,,,,
TestBloomFilterStringQuery,8,32768,8,100,788342,902.574,901.44,ns,,,,,
TestBloomFilterStringQuery,64,32768,8,100,747416,910.638,909.469,ns,,,,,
TestBloomFilterStringQuery,512,32768,8,100,780928,912.318,911.231,ns,,,,,
TestBloomFilterStringQuery,2048,32768,8,100,776303,912.203,911.206,ns,,,,,
TestBloomFilterStringQuery,2,262144,8,100,755434,912.24,910.925,ns,,,,,
TestBloomFilterStringQuery,8,262144,8,100,771613,929.644,928.176,ns,,,,,
TestBloomFilterStringQuery,64,262144,8,100,784147,904.511,903.795,ns,,,,,
TestBloomFilterStringQuery,512,262144,8,100,767628,907.715,906.539,ns,,,,,
TestBloomFilterStringQuery,2048,262144,8,100,796097,910.455,909.593,ns,,,,,
TestBloomFilterStringQuery,2,1000000,8,100,759664,911.941,911.186,ns,,,,,
TestBloomFilterStringQuery,8,1000000,8,100,768715,911.248,909.692,ns,,,,,
TestBloomFilterStringQuery,64,1000000,8,100,763692,908.186,906.911,ns,,,,,
TestBloomFilterStringQuery,512,1000000,8,100,780144,920.209,918.883,ns,,,,,
TestBloomFilterStringQuery,2048,1000000,8,100,773387,909.442,908.482,ns,,,,,
TestBloomFilterStringQuery,2,1000,64,100,96897,7244.99,7231.63,ns,,,,,
TestBloomFilterStringQuery,8,1000,64,100,96666,7181.45,7171.44,ns,,,,,
TestBloomFilterStringQuery,64,1000,64,100,96960,7182.92,7172.19,ns,,,,,
TestBloomFilterStringQuery,512,1000,64,100,95926,7307.93,7293.58,ns,,,,,
TestBloomFilterStringQuery,2048,1000,64,100,95219,7149.35,7142.53,ns,,,,,
TestBloomFilterStringQuery,2,4096,64,100,97259,7108.76,7101.34,ns,,,,,
TestBloomFilterStringQuery,8,4096,64,100,100304,7089.76,7080.35,ns,,,,,
TestBloomFilterStringQuery,64,4096,64,100,96724,7074.62,7069.33,ns,,,,,
TestBloomFilterStringQuery,512,4096,64,100,99105,7105.93,7093.57,ns,,,,,
TestBloomFilterStringQuery,2048,4096,64,100,99569,7111.92,7104.7,ns,,,,,
TestBloomFilterStringQuery,2,32768,64,100,96257,7107.07,7099.05,ns,,,,,
TestBloomFilterStringQuery,8,32768,64,100,98957,7067.75,7061.96,ns,,,,,
TestBloomFilterStringQuery,64,32768,64,100,99044,7115.5,7104.39,ns,,,,,
TestBloomFilterStringQuery,512,32768,64,100,96417,7157.3,7151.54,ns,,,,,
TestBloomFilterStringQuery,2048,32768,64,100,96204,7159.55,7150.7,ns,,,,,
TestBloomFilterStringQuery,2,262144,64,100,94219,7178.69,7172.47,ns,,,,,
TestBloomFilterStringQuery,8,262144,64,100,97168,7195.77,7184.2,ns,,,,,
TestBloomFilterStringQuery,64,262144,64,100,95977,7186.96,7180.44,ns,,,,,
TestBloomFilterStringQuery,512,262144,64,100,98525,7154.28,7147.42,ns,,,,,
TestBloomFilterStringQuery,2048,262144,64,100,97613,7161.65,7153.29,ns,,,,,
TestBloomFilterStringQuery,2,1000000,64,100,96258,7093.06,7083.98,ns,,,,,
TestBloomFilterStringQuery,8,1000000,64,100,98724,7172.96,7163.14,ns,,,,,
TestBloomFilterStringQuery,64,1000000,64,100,98557,7250.88,7240.62,ns,,,,,
TestBloomFilterStringQuery,512,1000000,64,100,99027,7263.65,7254.46,ns,,,,,
TestBloomFilterStringQuery,2048,1000000,64,100,97823,7265.02,7255.11,ns,,,,,
TestBloomFilterStringQuery,2,1000,512,100,12079,57598,57514.1,ns,,,,,
TestBloomFilterStringQuery,8,1000,512,100,11984,57806,57705.9,ns,,,,,
TestBloomFilterStringQuery,64,1000,512,100,10227,58055.4,57945.3,ns,,,,,
TestBloomFilterStringQuery,512,1000,512,100,11840,57253.5,57187.3,ns,,,,,
TestBloomFilterStringQuery,2048,1000,512,100,12001,57083.8,57006.4,ns,,,,,
TestBloomFilterStringQuery,2,4096,512,100,11971,56937,56886.6,ns,,,,,
TestBloomFilterStringQuery,8,4096,512,100,12122,57690.6,57574,ns,,,,,
TestBloomFilterStringQuery,64,4096,512,100,12333,57688.4,57589.3,ns,,,,,
TestBloomFilterStringQuery,512,4096,512,100,12129,57536.9,57452.1,ns,,,,,
TestBloomFilterStringQuery,2048,4096,512,100,11892,57550.5,57490.9,ns,,,,,
TestBloomFilterStringQuery,2,32768,512,100,12287,57559.3,57469.8,ns,,,,,
TestBloomFilterStringQuery,8,32768,512,100,11894,57839.4,57770.7,ns,,,,,
TestBloomFilterStringQuery,64,32768,512,100,12116,59240.4,59115.5,ns,,,,,
TestBloomFilterStringQuery,512,32768,512,100,12014,58779.5,58678.3,ns,,,,,
TestBloomFilterStringQuery,2048,32768,512,100,11948,58045,57965.9,ns,,,,,
TestBloomFilterStringQuery,2,262144,512,100,12005,57987.7,57934.1,ns,,,,,
TestBloomFilterStringQuery,8,262144,512,100,11773,58254.2,58166.2,ns,,,,,
TestBloomFilterStringQuery,64,262144,512,100,11924,58532.5,58452.3,ns,,,,,
TestBloomFilterStringQuery,512,262144,512,100,11894,58601.1,58560.9,ns,,,,,
TestBloomFilterStringQuery,2048,262144,512,100,11991,58441.5,58403.8,ns,,,,,
TestBloomFilterStringQuery,2,1000000,512,100,12212,57996.5,57950.8,ns,,,,,
TestBloomFilterStringQuery,8,1000000,512,100,11561,59435.8,59312.1,ns,,,,,
